project_name,scene_number,scene_setting,clip_number,duration_seconds,action_class,shot_scale_hint,camera_movement,dialogue_text,dialogue_word_count,speaker,delivery,acting_intensity,micro_expression,focal_plane,rack_focus,veo_continuation_source
Buster,2,INT. LIVING ROOM - EVENING,8,4,hold,extreme_close_up,"100mm macro lens, locked tripod hold",That makes no sense in Buster's head!,7,Character_Narrator,voiceover_internal,5,"tilted head, deeply puzzled raised inner brows, wide questioning eyes, slack soft jaw",Midground: Mom's knowing expression,Subtle rack from Buster's tilt back to Mom as she comments,extend_previous
Buster,2,INT. LIVING ROOM - EVENING,9,4,action,wide,"24mm wide anamorphic lens, dynamic handheld tracking backward",,0,,none,7,"bright wide eager eyes, perked forward ears, open happy pant-smile, excited nose wrinkle",Midground: Leash hook-up and Buster's brightening face,Follow focus from Mom clipping leash onto Buster then track with him as he tows her toward door,extend_previous
Buster,3,EXT. BACKYARD - EVENING,1,9,action,wide,"24mm wide anamorphic lens, low-angle slow tracking shot",,0,,none,3,"soft relaxed eyes, gently perked ears, loose jaw with faint contented pant, subtle nose twitch",Midground: Buster as he sniffs and circles,"Start on foreground bushes/fence line at t=0s, gentle rack to Buster midground through his circuit and business, then smooth pull with him as he trots to Mom at the door and holds sharp through his spin",none
Buster,4,INT. KITCHEN - EVENING,1,4,hold,medium,"35mm prime lens, slow circling track following spin",He spins around to get a treat.,7,Character_Narrator,voiceover_internal,6,"eager bright wide eyes locked forward, slight open-mouth pant, raised brow anticipation",Midground: Buster's eyes and spinning body,"Static focus on Buster as he spins, eyes locked on Mom",none
Buster,4,INT. KITCHEN - EVENING,2,7,action,medium,"50mm prime lens, gentle handheld follow downward then lateral",,0,,none,4,"warm gentle crinkled-eye smile, soft lowered brows, relaxed jaw",Foreground: treat by Buster's feet,"Rack focus from Mom's smiling face and kneeling hands at t=0s to treat/Buster gobbling at t=1.5s, then to water bowl as he pads over at t=3s",extend_previous
Buster,4,INT. KITCHEN - EVENING,3,6,hold,close_up,"85mm f/1.4 portrait lens, locked tripod hold with subtle push-in",He has his drink of water too. This also would be good for you!,14,Character_Narrator,voiceover_internal,5,"knowing warm smile, slight raised outer brows, friendly eye contact twinkle",Midground: Buster lapping at water bowl,Static focus on Buster at water bowl with Mom soft in background,extend_previous
Buster,5,INT. HALLWAY - EVENING,1,6,hold,medium,"50mm prime lens, gentle handheld drift with subtle push-in","Pajamas, black and white he wears.",6,Character_Narrator,voiceover_internal,4,"soft proud eye crinkle, slight head tilt, gentle pant-smile with relaxed jaw",Midground: Buster's face and the black-and-white pajamas as Mom eases them on,Subtle rack from Mom's hands holding pajamas at t=0s to Buster's proud eyes at t=1.5s,none
Buster,5,INT. HALLWAY - EVENING,2,7,action,wide,"24mm wide anamorphic lens, low-angle tracking shot following ascent",,0,,none,6,"focused forward stare, furrowed brow ridge, determined muzzle set, ears pricked",Foreground: Buster's determined face and front paws at base of staircase,Static focus on Buster as he gathers himself,extend_previous
Buster,5,INT. HALLWAY - EVENING,3,7,hold,medium,"35mm prime lens, side-tracking dolly matching paw thumps",And then he climbs the many stairs To get to Mom and Daddy's room And,15,Character_Narrator,voiceover_internal,6,"intense concentrated gaze, subtle nostril flare, steady jaw tension, alert eyes","Midground: Buster climbing, pajamas slightly twisted, paws thumping on steps",Slow rack focus following Buster upward from lower steps to mid-staircase as he climbs,extend_previous
Buster,5,INT. HALLWAY - EVENING,4,4,hold,close_up,"85mm f/1.4 portrait lens, slow 15% dolly push-in on determined face","jump in bed, and none too soon.",7,Character_Narrator,voiceover_internal,7,"eager wide eyes, quick brow lift, excited micro-pant, hopeful forward lean of head","Midground: Buster nearing the top of the stairs, determined expression",Rack focus from Buster's paws on steps at t=0s to his eyes as he reaches toward Mom and Daddy's room,extend_previous
Buster,6,INT. MOM AND DADDY'S BEDROOM - NIGHT,1,6,hold,medium,"35mm prime lens, slow gentle dolly push-in from bedside","He's not that smart, but still he knows He'll have a dream of fluffy snows,",15,Character_Narrator,voiceover_internal,2,"heavy-lidded drooping eyes, soft relaxed muzzle, gentle nostril flare on sigh, slow contented blink",Midground: Buster's eyes as they grow heavy and flutter,Static focus on Buster's eyes after he flops between the pillows,none
Buster,6,INT. MOM AND DADDY'S BEDROOM - NIGHT,2,5,hold,close_up,"85mm f/1.4 portrait lens, locked tripod hold with subtle focus pull to eyes",Or bunnies running 'cross the yard And how he'll chase them very hard.,13,Character_Narrator,voiceover_internal,3,"dreamy half-lidded eyes with faint sparkle, subtle ear twitch, loose happy jaw, tiny nose wrinkle of anticipation",Midground: Buster's dream-lit face and fluttering eyes,Subtle rack from Buster's paws settling on the mattress at t=0s to his eyes at t=1.5s,extend_previous
Buster,6,INT. MOM AND DADDY'S BEDROOM - NIGHT,3,6,big_action,wide,"24mm wide anamorphic lens, dynamic low-angle tracking shot following bounds",,0,,none,7,"wide bright eager eyes, open joyful pant-smile, perked forward ears, animated brow lifts of pure delight",Midground: Pajama-clad Buster bounding through snow then racing after bunnies,"Rack focus from foreground snow drifts / near bunnies at t=0s to Buster's joyful eyes and body in midground at t=2s, then follow his chase",none
Buster,7,INT. MOM AND DADDY'S BEDROOM - NIGHT,1,6,hold,close_up,"85mm f/1.4 portrait lens, locked tripod hold with subtle breathing drift",He goes to sleep because they say Tomorrow is another day.,11,Character_Narrator,voiceover_internal,2,"soft fluttering eyelids, faint nose twitch settling into loose relaxed jaw",Midground: Buster's twitching body settling into sleep,Static focus on Buster,none
Buster,7,INT. MOM AND DADDY'S BEDROOM - NIGHT,2,7,action,medium,"50mm prime lens, slow gentle lateral track revealing Mom",,0,,none,3,"tender half-lidded gaze, soft warm smile, gentle cheek lift",Foreground: Mom's hand stroking Buster,Rack focus from Buster's body to Mom's stroking hand at t=0.5s,extend_previous
Buster,7,INT. MOM AND DADDY'S BEDROOM - NIGHT,3,6,hold,close_up,"100mm macro lens, locked tripod hold",Another day for silly dogs To run and play and jump like frogs.,13,Character_Narrator,voiceover_internal,2,"calm serene eyes, subtle contented smile, relaxed brow",Foreground: Mom's hand stroking Buster slowly,Static focus on Mom's stroking hand,extend_previous
Buster,7,INT. MOM AND DADDY'S BEDROOM - NIGHT,4,6,hold,medium,"35mm prime lens, slow 8% dolly push-in","He falls asleep, lays down his head. He's warm and soft and quite well — fed.",16,Character_Narrator,voiceover_internal,2,"warm softened eyes, gentle closed-mouth smile, peaceful forehead",Midground: Buster's resting head and closed eyes,Gentle rack focus from Mom's hand to Buster's head at t=1s,extend_previous
Buster,7,INT. MOM AND DADDY'S BEDROOM - NIGHT,5,6,hold,close_up,"85mm f/1.4 portrait lens, locked tripod hold",His Mommy pets him while he sleeps. This noodle head is loved for keeps.,14,Character_Narrator,voiceover_internal,3,"deep affectionate eyes, tender full smile, slight proud chin tilt",Midground: Buster's peaceful face as Mom pets him,Static focus on Buster's face,extend_previous
Buster,7,INT. MOM AND DADDY'S BEDROOM - NIGHT,6,9,hold,wide,"24mm wide anamorphic lens, slow crane-down to low angle as lamp switches off",,0,,none,2,"soft satisfied exhale through nose, eyelids heavy with contentment, tiny smile","Midground: Buster breathing deeply, then Background: lamp being switched off",Rack focus from Buster's breathing form to the lamp at t=2s as Mom switches it off,extend_previous
Buster,7,INT. MOM AND DADDY'S BEDROOM - NIGHT,7,3,hold,wide,"24mm wide anamorphic lens, locked tripod hold fading to black",,0,,none,1,"complete neutral rest, face fully relaxed in darkness",Background: darkened bedroom after lamp off,Static focus on residual ambient glow fading to black,none
Buster,8,,,6,,,,,0,,,0,,,,
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,1,6,dialogue,medium,"35mm prime lens, slow 10% dolly push-in","True! Nervous — very, very dreadfully nervous I had been and am;",12,Character_The_Narrator,spoken_on_camera,7,"tightly controlled wide eyes, faint forehead sheen, lips pressed thin with subtle tremor at corners",Midground: Narrator's eyes,Static focus on Narrator's eyes as he leans in,none
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,2,4,dialogue,medium,"35mm prime lens, continued slow dolly push-in",but why will you say that I am mad?,9,Character_The_Narrator,spoken_on_camera,6,"raised inner brows in wounded challenge, slight head tilt, searching direct stare",Midground: Narrator's eyes,Static focus on Narrator's eyes,extend_previous
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,3,5,dialogue,close_up,"50mm prime lens, locked tripod hold",The disease had sharpened my senses — not destroyed — not dulled them.,13,Character_The_Narrator,spoken_on_camera,5,"sharpened focused gaze, subtle nostril flare, calm but precise mouth articulation",Midground: Narrator's face,Static focus on Narrator's face,extend_previous
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,4,4,dialogue,close_up,"50mm prime lens, subtle slow push-in",Above all was the sense of hearing acute.,8,Character_The_Narrator,spoken_on_camera,6,"eyes slightly widen with acute alertness, brows lift, head cocks as if listening",Midground: Narrator's eyes,Static focus on Narrator's eyes,extend_previous
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,5,5,dialogue,close_up,"85mm f/1.4 portrait lens, locked tripod hold",I heard all things in the heaven and in the earth.,11,Character_The_Narrator,spoken_on_camera,7,"expansive upward glance, dilated pupils, awed yet feverish open expression",Midground: Narrator's eyes,Static focus on Narrator's eyes,extend_previous
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,6,6,dialogue,close_up,"85mm f/1.4 portrait lens, slow 5% dolly push-in","I heard many things in hell. How, then, am I mad? Hearken!",12,Character_The_Narrator,spoken_on_camera,8,"intense piercing stare, sudden forward thrust of chin, lips curl in defiant challenge",Midground: Narrator's eyes,Static focus on Narrator's eyes,extend_previous
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,7,6,dialogue,medium,"35mm prime lens, gentle pull-back to medium",and observe how healthily — how calmly I can tell you the whole story.,14,Character_The_Narrator,spoken_on_camera,4,"forced smooth brow, deliberate soft smile muscles, overly steady calm eyes",Midground: Narrator's face,Static focus on Narrator's face,extend_previous
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,8,5,hold,close_up,"85mm f/1.4 portrait lens, locked tripod hold",,0,,none,3,"barely-there asymmetrical smirk, eyes half-lidded with secret satisfaction",Midground: Narrator's mouth and eyes,Static focus on Narrator's subtle smile,extend_previous
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,9,5,dialogue,close_up,"50mm prime lens, slow creeping push-in",It is impossible to say how first the idea entered my brain;,12,Character_The_Narrator,spoken_on_camera,5,"inward distant gaze, slight furrow between brows, thoughtful parted lips",Midground: Narrator's eyes,Static focus on Narrator's eyes,extend_previous
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,10,6,dialogue,close_up,"50mm prime lens, locked tripod hold","but once conceived, it haunted me day and night. Object there was none.",13,Character_The_Narrator,spoken_on_camera,6,"haunted fixed stare, subtle jaw clench, restless micro-twitch under one eye",Midground: Narrator's eyes,Static focus on Narrator's eyes,extend_previous
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,11,6,dialogue,medium,"35mm prime lens, slow lateral drift right",Passion there was none. I loved the old man. He had never wronged me.,14,Character_The_Narrator,spoken_on_camera,4,"softened sincere eyes, gentle brow raise, open earnest mouth shape",Midground: Narrator's face,Static focus on Narrator's face,extend_previous
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,12,5,dialogue,medium,"35mm prime lens, locked tripod hold",He had never given me insult. For his gold I had no desire.,13,Character_The_Narrator,spoken_on_camera,4,"calm dismissive head shake micro-movement, steady neutral mouth, clear direct gaze",Midground: Narrator's eyes,Static focus on Narrator's eyes,extend_previous
TellTaleHeartV7,1,INT. BARE ROOM - NIGHT,13,5,dialogue,extreme_close_up,"100mm macro lens, sharp snap push-in to ECU","I think it was his eye! Yes, it was this!",10,Character_The_Narrator,spoken_on_camera,8,"sudden electrified wide-eyed realization, brows shoot up, lips part in sharp epiphany",Midground: Narrator's eyes,Subtle rack micro-focus tighten on Narrator's eyes at the word 'eye',extend_previous
TellTaleHeartV7,2,INT. OLD MAN'S BEDCHAMBER - DAY,1,8,hold,medium,"35mm prime lens, slow subtle dolly push-in from doorway POV","He had the eye of a vulture - a pale blue eye, with a film over",16,Character_The_Narrator,voiceover_internal,5,"cold narrowed gaze, slight brow furrow, lips thinning to a hard line",Midground: Old Man's pale blue filmed vulture eye,Static focus on Old Man's eye as it catches the light,none
TellTaleHeartV7,2,INT. OLD MAN'S BEDCHAMBER - DAY,2,5,hold,extreme_close_up,"100mm macro lens, locked tripod hold with micro focus pull",it.,1,Character_The_Narrator,voiceover_internal,6,"frozen wide-eyed stare, facial muscles locking rigid, faint nostril flare",Midground: Old Man's pale blue filmed vulture eye,Hold sharp focus on the filmed eye; background doorway soft,extend_previous
TellTaleHeartV7,2,INT. OLD MAN'S BEDCHAMBER - DAY,3,9,hold,close_up,"85mm f/1.4 portrait lens, slow 10% dolly push-in",and so by degrees - very gradually - I made up my mind to take the life,17,Character_The_Narrator,voiceover_internal,8,"calculating narrowed eyes, subtle predatory half-smile, temple vein twitch",Background: Narrator's eyes,Static focus on Narrator's eyes as resolve hardens,extend_previous
TellTaleHeartV7,2,INT. OLD MAN'S BEDCHAMBER - DAY,4,8,hold,extreme_close_up,"100mm macro lens, slow creep-in with shallow focus rack","of the old man, and thus rid myself of the eye forever.",12,Character_The_Narrator,voiceover_internal,9,"chillingly serene dead-eyed stare, unnatural calm smile, jaw set like stone",Background: Narrator's eyes,Static focus on Narrator's eyes; Old Man's eye falls soft in midground,extend_previous
TellTaleHeartV7,3,INT. BARE ROOM - NIGHT,1,6,dialogue,medium,"35mm prime lens, slow 15% dolly push-in",Now this is the point. You fancy me mad. Madmen know nothing.,12,Character_The_Narrator,spoken_on_camera,7,"sharp eager eyes widening, precise tight-lipped smile, subtle brow furrow of insistence",Midground: Narrator's eyes,Static focus on Narrator's eyes as he rises,none
TellTaleHeartV7,3,INT. BARE ROOM - NIGHT,2,3,dialogue,medium,"50mm prime lens, gentle continued dolly push-in",But you should have seen me.,6,Character_The_Narrator,spoken_on_camera,7,"leaning-in intense gaze, raised expectant brows, faint proud smirk forming",Midground: Narrator's eyes,Static focus on Narrator's eyes,extend_previous
TellTaleHeartV7,3,INT. BARE ROOM - NIGHT,3,6,dialogue,close_up,"85mm f/1.4 portrait lens, locked tripod hold with subtle drift",You should have seen how wisely I proceeded - with what caution - with what foresight -,17,Character_The_Narrator,spoken_on_camera,8,"feverish wide-eyed pride, controlled knowing smile, jaw set with cunning tension",Midground: Narrator's face,Static focus on Narrator's face,extend_previous
TellTaleHeartV7,3,INT. BARE ROOM - NIGHT,4,3,dialogue,close_up,"85mm f/1.4 portrait lens, slow 10% push-in",with what dissimulation I went to work!,7,Character_The_Narrator,spoken_on_camera,8,"gleaming triumphant eyes, sharper unnatural grin, slight nostril flare of delight",Midground: Narrator's eyes,Static focus on Narrator's eyes,extend_previous
TellTaleHeartV7,3,INT. BARE ROOM - NIGHT,5,6,dialogue,close_up,"100mm macro lens, steady slow push-in",I was never kinder to the old man than during the whole week before,14,Character_The_Narrator,spoken_on_camera,8,"softened false-kind eyes, gentle creeping smile, underlying cheek tension of irony",Midground: Narrator's eyes,Static focus on Narrator's eyes,extend_previous
TellTaleHeartV7,3,INT. BARE ROOM - NIGHT,6,5,dialogue,extreme_close_up,"100mm macro lens, locked extreme hold then micro push",I killed him.,3,Character_The_Narrator,spoken_on_camera,9,"sudden dead-still cold stare, smile vanishing to flat lips, micro jaw clench",Midground: Narrator's eyes,Static focus on Narrator's eyes for the reveal,extend_previous
TellTaleHeartV7,4,INT. OLD MAN'S BEDCHAMBER - DAY,1,4,dialogue,wide,"24mm wide anamorphic lens, slow dolly push-in from chamber doorway",And how have you passed the night?,7,Character_The_Narrator,spoken_on_camera,5,"Broad hearty smile with crinkled crow's feet, slightly too-wide eager eyes, subtle jaw tension",Midground: Narrator's eyes and smile as he throws open shutters,"Rack focus from bright window/shutters in background at t=0s to Narrator's face in midground, then gently pull to Old Man's blinking filmed eye",none
TellTaleHeartV7,4,INT. OLD MAN'S BEDCHAMBER - DAY,2,3,action,medium,"35mm prime lens, gentle lateral track into two-shot",,0,,none,4,"Warm soft smile, gentle eye crinkle, relaxed brows, faint possessive tightness at mouth corners",Midground: Narrator's hand clasping Old Man's shoulder,"Static focus on the clasp, holding both faces acceptably sharp",extend_previous
TellTaleHeartV7,4,INT. OLD MAN'S BEDCHAMBER - DAY,3,6,hold,medium,"40mm spherical lens, locked tripod hold with subtle breathing drift","Every morning, when the day broke, I went boldly into the chamber, and spoke courageously",15,Character_The_Narrator,voiceover_internal,6,"Fixed courageous smile, intently raised brows, glittering eyes, controlled cheek tension",Midground: Narrator's eyes,Static focus on Narrator's eyes while he speaks courageously,extend_previous
TellTaleHeartV7,4,INT. OLD MAN'S BEDCHAMBER - DAY,4,4,hold,close_up,"85mm f/1.4 portrait lens, slow 8% dolly push-in","to him, calling him by name in a hearty tone.",10,Character_The_Narrator,voiceover_internal,6,"Hearty open-mouthed smile, animated eye sparkle, slight nostril flare, lingering jaw set",Midground: Narrator's eyes,"Subtle rack from Narrator's eyes to Old Man's face on the hearty tone, then back",extend_previous
TellTaleHeartV7,4,INT. OLD MAN'S BEDCHAMBER - DAY,5,6,hold,close_up,"85mm f/1.4 portrait lens, continued slow push-in to tighter framing","So you see he would have been a very profound old man, indeed, to suspect",15,Character_The_Narrator,voiceover_internal,7,"Knowing half-smile, narrowed calculating eyes, one brow subtly arched, cheek muscle twitch",Midground: Narrator's eyes,Static focus on Narrator's eyes,extend_previous
TellTaleHeartV7,4,INT. OLD MAN'S BEDCHAMBER - DAY,6,6,hold,extreme_close_up,"100mm macro lens, creeping macro push to final hold","that every night, just at twelve, I looked in upon him while he slept.",14,Character_The_Narrator,voiceover_internal,8,"Tight unnatural grin, feverish wide-eyed stare, dilated pupils, visible jaw muscle clench",Midground: Narrator's eyes,Slow rack focus from Narrator's eyes to Old Man's filmed eye in the background as the line ends,extend_previous
TellTaleHeartV7,5,INT. HALL OUTSIDE BEDCHAMBER - NIGHT,1,8,hold,close_up,"85mm f/1.4 portrait lens, locked tripod hold with micro push-in","And every night, about midnight, I turned the latch of his door and opened it -",16,Character_The_Narrator,voiceover_internal,5,"narrowed predatory eyes, lips pressed thin in cunning restraint, faint nostril flare",Foreground: dark lantern latch in Narrator's hand,Static focus on lantern latch as it turns,none
TellTaleHeartV7,5,INT. HALL OUTSIDE BEDCHAMBER - NIGHT,2,5,hold,extreme_close_up,"100mm macro lens, locked tripod hold","oh, so gently!",3,Character_The_Narrator,voiceover_internal,6,"wide gleaming eyes, exaggerated soft smile frozen tight, subtle cheek twitch",Foreground: Narrator's fingers on the latch,Static focus on gentle latch movement,extend_previous
TellTaleHeartV7,5,INT. HALL OUTSIDE BEDCHAMBER - NIGHT,3,7,hold,medium,"35mm prime lens, slow 5% dolly push-in","And then, when I had made an opening sufficient for my head, I put in",15,Character_The_Narrator,voiceover_internal,6,"intense focused stare, jaw clenched rigid, brows lifted in false innocence",Midground: door crack opening sufficient for head,Rack focus from latch in foreground at t=0s to door opening in midground at t=1.5s,extend_previous
TellTaleHeartV7,5,INT. HALL OUTSIDE BEDCHAMBER - NIGHT,4,8,hold,close_up,"50mm prime lens, slow tracking with lantern","a dark lantern, all closed, closed, that no light shone out, and then I thrust",15,Character_The_Narrator,voiceover_internal,7,"feverish wide-eyed concentration, tight unnatural half-smile, visible jaw muscle twitch","Foreground: dark lantern, fully closed",Static focus on closed lantern as it slides forward,extend_previous
TellTaleHeartV7,5,INT. HALL OUTSIDE BEDCHAMBER - NIGHT,5,4,hold,close_up,"85mm f/1.4 portrait lens, slow 10% dolly push-in",in my head.,3,Character_The_Narrator,voiceover_internal,7,"eyes bulging slightly in thrill, lips parted in silent glee, forehead vein tension",Midground: Narrator's head thrusting into opening,Rack focus from lantern in foreground at t=0s to Narrator's head in midground at t=1s,extend_previous
TellTaleHeartV7,5,INT. HALL OUTSIDE BEDCHAMBER - NIGHT,6,9,hold,medium,"35mm prime lens, ultra-slow creep forward","I moved it slowly - very, very slowly, so that I might not disturb the old",16,Character_The_Narrator,voiceover_internal,8,"hyper-focused unblinking stare, mouth a tight controlled line, micro-tremor in lower lid",Midground: Narrator's head and lantern moving slowly,Static focus on slow advance of head and lantern,extend_previous
TellTaleHeartV7,5,INT. HALL OUTSIDE BEDCHAMBER - NIGHT,7,5,hold,close_up,"85mm f/1.4 portrait lens, locked tripod hold",man's sleep.,2,Character_The_Narrator,voiceover_internal,7,"softened yet manic eyes, gentle false smile cracking at edges, subtle nostril quiver",Midground: Narrator's cautious eyes,Static focus on Narrator's eyes (implying old man's sleep beyond),extend_previous
TellTaleHeartV7,5,INT. HALL OUTSIDE BEDCHAMBER - NIGHT,8,10,hold,medium,"40mm anamorphic lens, extremely slow dolly push-in over one hour feel",It took me an hour to place my whole head within the opening so far,15,Character_The_Narrator,voiceover_internal,8,"strained wide eyes watering with effort, teeth gritted behind closed lips, brow deeply furrowed",Midground: Narrator's whole head within the opening,Static focus on Narrator's head inching forward over long duration,extend_previous
TellTaleHeartV7,5,INT. HALL OUTSIDE BEDCHAMBER - NIGHT,9,8,hold,wide,"24mm wide anamorphic lens, slow reveal pan from doorway POV",that I could see him as he lay upon his bed.,11,Character_The_Narrator,voiceover_internal,9,"feverishly intense wide-eyed stare of triumph, tight unnatural smile, jaw muscle spasm",Background: Old Man lying upon his bed,Rack focus from Narrator's head in midground at t=0s to Old Man on bed in background at t=2.5s,extend_previous
TellTaleHeartV7,6,INT. OLD MAN'S BEDCHAMBER - NIGHT,1,5,hold,close_up,"85mm f/1.4 portrait lens, locked tripod hold with subtle 5% push-in",Ha! Would a madman have been so wise as this?,10,Character_The_Narrator,voiceover_internal,7,"gleaming wide triumphant eyes, tight self-satisfied smirk, subtle nostril flare",Foreground: Narrator's gleaming eye in the door gap,Static focus on Narrator's eye,none
TellTaleHeartV7,6,INT. OLD MAN'S BEDCHAMBER - NIGHT,2,7,hold,extreme_close_up,"100mm macro lens, slow creeping macro push toward hinges","I undid the lantern cautiously - oh, so cautiously - cautiously ( for the hinges creaked )- just so",19,Character_The_Narrator,voiceover_internal,6,"narrowed hyper-focused eyes, parted cautious lips, faint brow furrow of concentration",Foreground: Fingers undoing the lantern latch,Rack focus from Narrator's eye to lantern latch hinges at t=1s,extend_previous
TellTaleHeartV7,6,INT. OLD MAN'S BEDCHAMBER - NIGHT,3,5,hold,close_up,"50mm prime lens, slow lateral track following the thin ray",much that a single thin ray fell upon the vulture eye.,11,Character_The_Narrator,voiceover_internal,8,"feverish intense stare locking on target, dilated pupils, jaw clenched tight",Midground: Single thin ray falling on the vulture eye / pillow,Rack focus from lantern aperture along the ray to the closed filmed eye at t=1.5s,extend_previous
TellTaleHeartV7,6,INT. OLD MAN'S BEDCHAMBER - NIGHT,4,7,hold,medium,"35mm prime lens, locked tripod hold with faint atmospheric drift",And this I did for seven long nights - every night just at midnight - but I,17,Character_The_Narrator,voiceover_internal,5,"weary yet obsessive half-lidded gaze, slight downward mouth pull, rhythmic eye twitch","Midground: Old Man sleeping, ray on pillow",Static focus on the closed eye and pillow,extend_previous
TellTaleHeartV7,6,INT. OLD MAN'S BEDCHAMBER - NIGHT,5,3,hold,extreme_close_up,"100mm macro lens, locked tripod extreme hold",found the eye always closed;,5,Character_The_Narrator,voiceover_internal,4,"disappointed slackened features, drooping eyelids, faint frustrated lip press",Midground: The filmed closed eye,Static focus on the always-closed vulture eye,extend_previous
TellTaleHeartV7,6,INT. OLD MAN'S BEDCHAMBER - NIGHT,6,6,hold,close_up,"85mm f/1.4 portrait lens, slow 15% dolly push-in on the gap","for it was not the old man who vexed me, but his Evil Eye.",14,Character_The_Narrator,voiceover_internal,9,"wild burning hatred in eyes, bared teeth snarl, facial muscles rigid with rage",Midground: The Evil Eye (closed) on the pillow,Slow rack focus from Narrator's eye to the Evil Eye at t=2s,extend_previous
TellTaleHeartV7,6,INT. OLD MAN'S BEDCHAMBER - NIGHT,7,8,action,wide,"24mm wide anamorphic lens, slow retreat dolly as door seals",,0,,none,3,"cool controlled blank mask, relaxed eyelids, faint lingering smirk fading",Background: Bedroom door closing,Rack focus from empty bed/pillow to the silently shutting door at t=1s,extend_previous
